filename	label
/work/dodohow1011/lt_speech_commands/dataset/_background_noise_/55.wav	silence
/work/dodohow1011/lt_speech_commands/dataset/_background_noise_/136.wav	silence
/work/dodohow1011/lt_speech_commands/dataset/_background_noise_/139.wav	silence
/work/dodohow1011/lt_speech_commands/dataset/_background_noise_/201.wav	silence
/work/dodohow1011/lt_speech_commands/dataset/_background_noise_/204.wav	silence
/work/dodohow1011/lt_speech_commands/dataset/_background_noise_/162.wav	silence
/work/dodohow1011/lt_speech_commands/dataset/_background_noise_/34.wav	silence
/work/dodohow1011/lt_speech_commands/dataset/_background_noise_/156.wav	silence
/work/dodohow1011/lt_speech_commands/dataset/_background_noise_/159.wav	silence
/work/dodohow1011/lt_speech_commands/dataset/_background_noise_/221.wav	silence
/work/dodohow1011/lt_speech_commands/dataset/_background_noise_/30.wav	silence
/work/dodohow1011/lt_speech_commands/dataset/_background_noise_/224.wav	silence
/work/dodohow1011/lt_speech_commands/dataset/_background_noise_/227.wav	silence
/work/dodohow1011/lt_speech_commands/dataset/_background_noise_/13.wav	silence
/work/dodohow1011/lt_speech_commands/dataset/_background_noise_/182.wav	silence
/work/dodohow1011/lt_speech_commands/dataset/_background_noise_/37.wav	silence
/work/dodohow1011/lt_speech_commands/dataset/_background_noise_/179.wav	silence
/work/dodohow1011/lt_speech_commands/dataset/_background_noise_/241.wav	silence
/work/dodohow1011/lt_speech_commands/dataset/_background_noise_/244.wav	silence
/work/dodohow1011/lt_speech_commands/dataset/_background_noise_/247.wav	silence
/work/dodohow1011/lt_speech_commands/dataset/_background_noise_/100.wav	silence
/work/dodohow1011/lt_speech_commands/dataset/_background_noise_/16.wav	silence
/work/dodohow1011/lt_speech_commands/dataset/_background_noise_/199.wav	silence
/work/dodohow1011/lt_speech_commands/dataset/_background_noise_/261.wav	silence
/work/dodohow1011/lt_speech_commands/dataset/_background_noise_/81.wav	silence
/work/dodohow1011/lt_speech_commands/dataset/_background_noise_/264.wav	silence
/work/dodohow1011/lt_speech_commands/dataset/_background_noise_/267.wav	silence
/work/dodohow1011/lt_speech_commands/dataset/_background_noise_/120.wav	silence
/work/dodohow1011/lt_speech_commands/dataset/_background_noise_/88.wav	silence
/work/dodohow1011/lt_speech_commands/dataset/_background_noise_/123.wav	silence
/work/dodohow1011/lt_speech_commands/dataset/_background_noise_/19.wav	silence
/work/dodohow1011/lt_speech_commands/dataset/_background_noise_/60.wav	silence
/work/dodohow1011/lt_speech_commands/dataset/_background_noise_/117.wav	silence
/work/dodohow1011/lt_speech_commands/dataset/_background_noise_/84.wav	silence
/work/dodohow1011/lt_speech_commands/dataset/_background_noise_/284.wav	silence
/work/dodohow1011/lt_speech_commands/dataset/_background_noise_/287.wav	silence
/work/dodohow1011/lt_speech_commands/dataset/_background_noise_/140.wav	silence
/work/dodohow1011/lt_speech_commands/dataset/_background_noise_/67.wav	silence
/work/dodohow1011/lt_speech_commands/dataset/_background_noise_/143.wav	silence
/work/dodohow1011/lt_speech_commands/dataset/_background_noise_/63.wav	silence
/work/dodohow1011/lt_speech_commands/dataset/_background_noise_/202.wav	silence
/work/dodohow1011/lt_speech_commands/dataset/_background_noise_/205.wav	silence
/work/dodohow1011/lt_speech_commands/dataset/_background_noise_/160.wav	silence
/work/dodohow1011/lt_speech_commands/dataset/_background_noise_/208.wav	silence
/work/dodohow1011/lt_speech_commands/dataset/_background_noise_/163.wav	silence
/work/dodohow1011/lt_speech_commands/dataset/_background_noise_/42.wav	silence
/work/dodohow1011/lt_speech_commands/dataset/_background_noise_/166.wav	silence
/work/dodohow1011/lt_speech_commands/dataset/_background_noise_/222.wav	silence
/work/dodohow1011/lt_speech_commands/dataset/_background_noise_/66.wav	silence
/work/dodohow1011/lt_speech_commands/dataset/_background_noise_/225.wav	silence
/work/dodohow1011/lt_speech_commands/dataset/_background_noise_/180.wav	silence
/work/dodohow1011/lt_speech_commands/dataset/_background_noise_/228.wav	silence
/work/dodohow1011/lt_speech_commands/dataset/_background_noise_/49.wav	silence
/work/dodohow1011/lt_speech_commands/dataset/_background_noise_/183.wav	silence
