filename	label
/work/dodohow1011/AR_SpeechCommands/commands/B_Back19.wav	B
/work/dodohow1011/AR_SpeechCommands/commands/A_Add17.wav	A
/work/dodohow1011/AR_SpeechCommands/commands/C_Cancel17.wav	C
/work/dodohow1011/AR_SpeechCommands/commands/D_Delete79.wav	D
/work/dodohow1011/AR_SpeechCommands/commands/F_Continue74.wav	F
/work/dodohow1011/AR_SpeechCommands/commands/B_Back17.wav	B
/work/dodohow1011/AR_SpeechCommands/commands/B_Back30.wav	B
/work/dodohow1011/AR_SpeechCommands/commands/F_Continue64.wav	F
/work/dodohow1011/AR_SpeechCommands/commands/A_Add69.wav	A
/work/dodohow1011/AR_SpeechCommands/commands/A_Add41.wav	A
/work/dodohow1011/AR_SpeechCommands/commands/C_Cancel15.wav	C
/work/dodohow1011/AR_SpeechCommands/commands/D_Delete75.wav	D
/work/dodohow1011/AR_SpeechCommands/commands/F_Continue94.wav	F
/work/dodohow1011/AR_SpeechCommands/commands/E_Confirm41.wav	E
/work/dodohow1011/AR_SpeechCommands/commands/C_Cancel84.wav	C
/work/dodohow1011/AR_SpeechCommands/commands/E_Confirm71.wav	E
/work/dodohow1011/AR_SpeechCommands/commands/E_Confirm52.wav	E
/work/dodohow1011/AR_SpeechCommands/commands/E_Confirm12.wav	E
/work/dodohow1011/AR_SpeechCommands/commands/C_Cancel24.wav	C
/work/dodohow1011/AR_SpeechCommands/commands/A_Add6.wav	A
/work/dodohow1011/AR_SpeechCommands/commands/D_Delete55.wav	D
/work/dodohow1011/AR_SpeechCommands/commands/B_Back62.wav	B
/work/dodohow1011/AR_SpeechCommands/commands/C_Cancel37.wav	C
/work/dodohow1011/AR_SpeechCommands/commands/F_Continue10.wav	F
/work/dodohow1011/AR_SpeechCommands/commands/A_Add19.wav	A
/work/dodohow1011/AR_SpeechCommands/commands/D_Delete80.wav	D
/work/dodohow1011/AR_SpeechCommands/commands/E_Confirm36.wav	E
/work/dodohow1011/AR_SpeechCommands/commands/F_Continue87.wav	F
/work/dodohow1011/AR_SpeechCommands/commands/C_Cancel8.wav	C
/work/dodohow1011/AR_SpeechCommands/commands/C_Cancel44.wav	C
/work/dodohow1011/AR_SpeechCommands/commands/B_Back16.wav	B
/work/dodohow1011/AR_SpeechCommands/commands/C_Cancel53.wav	C
/work/dodohow1011/AR_SpeechCommands/commands/F_Continue41.wav	F
/work/dodohow1011/AR_SpeechCommands/commands/D_Delete39.wav	D
/work/dodohow1011/AR_SpeechCommands/commands/D_Delete99.wav	D
/work/dodohow1011/AR_SpeechCommands/commands/B_Back100.wav	B
/work/dodohow1011/AR_SpeechCommands/commands/A_Add88.wav	A
/work/dodohow1011/AR_SpeechCommands/commands/C_Cancel96.wav	C
/work/dodohow1011/AR_SpeechCommands/commands/A_Add36.wav	A
/work/dodohow1011/AR_SpeechCommands/commands/C_Cancel47.wav	C
/work/dodohow1011/AR_SpeechCommands/commands/B_Back29.wav	B
/work/dodohow1011/AR_SpeechCommands/commands/F_Continue13.wav	F
/work/dodohow1011/AR_SpeechCommands/commands/E_Confirm45.wav	E
/work/dodohow1011/AR_SpeechCommands/commands/A_Add89.wav	A
/work/dodohow1011/AR_SpeechCommands/commands/A_Add67.wav	A
/work/dodohow1011/AR_SpeechCommands/commands/E_Confirm73.wav	E
/work/dodohow1011/AR_SpeechCommands/commands/B_Back49.wav	B
/work/dodohow1011/AR_SpeechCommands/commands/B_Back59.wav	B
/work/dodohow1011/AR_SpeechCommands/commands/A_Add66.wav	A
/work/dodohow1011/AR_SpeechCommands/commands/E_Confirm27.wav	E
/work/dodohow1011/AR_SpeechCommands/commands/D_Delete23.wav	D
/work/dodohow1011/AR_SpeechCommands/commands/C_Cancel41.wav	C
/work/dodohow1011/AR_SpeechCommands/commands/A_Add57.wav	A
/work/dodohow1011/AR_SpeechCommands/commands/C_Cancel87.wav	C
